JX1-222F	 U+FF07
JX1-2230	 U+FF02
JX1-2231	 U+FF0D
JX1-2232	 U+FF5E
JX1-2233	 U+3033
JX1-2234	 U+3034
JX1-2235	 U+3035
JX1-2242	 U+2284
JX1-2243	 U+2285
JX1-2244	 U+228A
JX1-2245	 U+228B
JX1-2246	 U+2209
JX1-2247	 U+2205
JX1-2248	 U+2305
JX1-2249	 U+2306
JX1-2251	 U+2295
JX1-2252	 U+2296
JX1-2253	 U+2297
JX1-2254	 U+2225
JX1-2255	 U+2226
JX1-2258	 U+3018
JX1-2259	 U+3019
JX1-225A	 U+3016
JX1-225B	 U+3017
JX1-226B	 U+2262
JX1-226C	 U+2243
JX1-226D	 U+2245
JX1-226E	 U+2248
JX1-226F	 U+2276
JX1-2270	 U+2277
JX1-2271	 U+2194
JX1-227A	 U+266E
JX1-227B	 U+266B
JX1-227C	 U+266C
JX1-227D	 U+2669
JX1-2321	 U+25B7
JX1-2322	 U+25B6
JX1-2323	 U+25C1
JX1-2324	 U+25C0
JX1-2325	 U+2197
JX1-2326	 U+2198
JX1-2327	 U+2196
JX1-2328	 U+2199
JX1-2329	 U+21C4
JX1-232A	 U+21E8
JX1-232B	 U+21E6
JX1-232C	 U+21E7
JX1-232D	 U+21E9
JX1-233B	 U+25C9
JX1-233F	 U+25E6
JX1-2340	 U+2022
JX1-235B	 U+2213
JX1-235C	 U+2135
JX1-235D	 U+210F
JX1-235E	 U+33CB
JX1-235F	 U+2113
JX1-2360	 U+2127
JX1-237C	 U+2013
JX1-2474	 U+3094
JX1-2475	 U+3095
JX1-2476	 U+3096
JX1-2639	 U+2664
JX1-263A	 U+2660
JX1-263B	 U+2662
JX1-263C	 U+2666
JX1-263D	 U+2661
JX1-263E	 U+2665
JX1-263F	 U+2667
JX1-2640	 U+2663
JX1-2659	 U+03C2
JX1-2664	 U+2616
JX1-2665	 U+2617
JX1-2666	 U+3020
JX1-2667	 U+260E
JX1-2668	 U+2600
JX1-2669	 U+2601
JX1-266A	 U+2602
JX1-266B	 U+2603
JX1-266C	 U+2668
JX1-266D	 U+25B1
JX1-2772	 U+30F7
JX1-2773	 U+30F8
JX1-2774	 U+30F9
JX1-2775	 U+30FA
JX1-2776	 U+22DA
JX1-2777	 U+22DB
JX1-2778	 U+2153
JX1-2779	 U+2154
JX1-277A	 U+2155
JX1-277B	 U+2713
JX1-277C	 U+2318
JX1-277D	 U+2423
JX1-2867	 U+25D0
JX1-2868	 U+25D1
JX1-2869	 U+25D2
JX1-286A	 U+25D3
JX1-286B	 U+203C
JX1-286D	 U+2048
JX1-286E	 U+2049
JX1-286F	 U+01CD
JX1-2870	 U+01CE
JX1-2871	 U+01D0
JX1-2872	 U+1E3E
JX1-2873	 U+1E3F
JX1-2875	 U+01F9
JX1-2876	 U+01D1
JX1-2877	 U+01D2
JX1-2878	 U+01D4
JX1-2879	 U+01D6
JX1-287A	 U+01D8
JX1-287B	 U+01DA
JX1-287C	 U+01DC
JX1-2921	 U+20AC
JX1-2922	 U+00A0
JX1-2923	 U+00A1
JX1-2924	 U+00A4
JX1-2925	 U+FFE4
JX1-2926	 U+00A9
JX1-2927	 U+00AA
JX1-2928	 U+00AB
JX1-2929	 U+00AD
JX1-292A	 U+00AE
JX1-292B	 U+FFE3
JX1-292C	 U+00B2
JX1-292D	 U+00B3
JX1-292E	 U+00B7
JX1-292F	 U+00B8
JX1-2930	 U+00B9
JX1-2931	 U+00BA
JX1-2932	 U+00BB
JX1-2933	 U+00BC
JX1-2934	 U+00BD
JX1-2935	 U+00BE
JX1-2936	 U+00BF
JX1-2937	 U+00C0
JX1-2938	 U+00C1
JX1-2939	 U+00C2
JX1-293A	 U+00C3
JX1-293B	 U+00C4
JX1-293C	 U+00C5
JX1-293D	 U+00C6
JX1-293E	 U+00C7
JX1-293F	 U+00C8
JX1-2940	 U+00C9
JX1-2941	 U+00CA
JX1-2942	 U+00CB
JX1-2943	 U+00CC
JX1-2944	 U+00CD
JX1-2945	 U+00CE
JX1-2946	 U+00CF
JX1-2947	 U+00D0
JX1-2948	 U+00D1
JX1-2949	 U+00D2
JX1-294A	 U+00D3
JX1-294B	 U+00D4
JX1-294C	 U+00D5
JX1-294D	 U+00D6
JX1-294E	 U+00D8
JX1-294F	 U+00D9
JX1-2950	 U+00DA
JX1-2951	 U+00DB
JX1-2952	 U+00DC
JX1-2953	 U+00DD
JX1-2954	 U+00DE
JX1-2955	 U+00DF
JX1-2956	 U+00E0
JX1-2957	 U+00E1
JX1-2958	 U+00E2
JX1-2959	 U+00E3
JX1-295A	 U+00E4
JX1-295B	 U+00E5
JX1-295C	 U+00E6
JX1-295D	 U+00E7
JX1-295E	 U+00E8
JX1-295F	 U+00E9
JX1-2960	 U+00EA
JX1-2961	 U+00EB
JX1-2962	 U+00EC
JX1-2963	 U+00ED
JX1-2964	 U+00EE
JX1-2965	 U+00EF
JX1-2966	 U+00F0
JX1-2967	 U+00F1
JX1-2968	 U+00F2
JX1-2969	 U+00F3
JX1-296A	 U+00F4
JX1-296B	 U+00F5
JX1-296C	 U+00F6
JX1-296D	 U+00F8
JX1-296E	 U+00F9
JX1-296F	 U+00FA
JX1-2970	 U+00FB
JX1-2971	 U+00FC
JX1-2972	 U+00FD
JX1-2973	 U+00FE
JX1-2974	 U+00FF
JX1-2975	 U+0100
JX1-2976	 U+012A
JX1-2978	 U+0112
JX1-2979	 U+014C
JX1-297A	 U+0101
JX1-297B	 U+012B
JX1-297C	 U+016B
JX1-297D	 U+0113
JX1-297E	 U+014D
JX1-2A21	 U+0104
JX1-2A22	 U+02D8
JX1-2A23	 U+0141
JX1-2A24	 U+013D
JX1-2A25	 U+015A
JX1-2A26	 U+0160
JX1-2A27	 U+015E
JX1-2A28	 U+0164
JX1-2A29	 U+0179
JX1-2A2A	 U+017D
JX1-2A2B	 U+017B
JX1-2A2C	 U+0105
